acceptedname	phylum	occurences	sti	sd	speciesname	taxonrank	infraspecificepithet	taxon_uri
Silene ciliata	Tracheophyta	251	10.24630338	1.407568751	Silene ciliata	SPECIES		
Erysiphe urticae	Ascomycota	251	8.43660377	1.825380587	Erysiphe urticae	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/erysipheurticae
Mollisia clavata	Ascomycota	251	8.761612328	1.02788795	Mollisia clavata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/mollisiaclavata
Prunus serrulata	Tracheophyta	251	8.936159899	1.33366989	Prunus serrulata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/prunusserrulata
Salix acutifolia	Tracheophyta	251	7.088987906	1.486763993	Salix acutifolia	SPECIES		
Vulpia alopecuros	Tracheophyta	251	15.55937696	1.835106107	Vulpia alopecuros	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/vulpiaalopecuros
Taraxacum leptodon	Tracheophyta	251	6.574603032	1.548987364	Taraxacum leptodon	SPECIES		
Arthrorhaphis alpina	Ascomycota	251	-0.662227584	5.392554944	Arthrorhaphis alpina	SPECIES		
Palmogloea protuberans	Chlorophyta	251	9.117613541	0.31428606	Palmogloea protuberans	SPECIES		
Megalospora tuberculosa	Ascomycota	251	8.71233004	1.319656129	Megalospora tuberculosa	SPECIES		
Fossombronia caespitiformis	Marchantiophyta	251	13.89985125	3.191395681	Fossombronia caespitiformis	SPECIES		
Salsola kali subsp. ruthenica	Tracheophyta	251	10.37297568	2.95191533	Salsola kali	SUBSPECIES	ruthenica	http://ndff-ecogrid.nl/taxonomy/taxa/salsolatragus
Cercospora ari	Ascomycota	252	9.454395849	0.613642509	Cercospora ari	SPECIES		
Polygala amara	Tracheophyta	252	7.326125531	2.18674213	Polygala amara	SPECIES		
Beta macrocarpa	Tracheophyta	252	16.9130952	1.607332002	Beta macrocarpa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/betamacrocarpa
Octospora humosa	Ascomycota	252	5.898736285	3.659100762	Octospora humosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/octosporahumosa
