"","species","STI","SD","5th_percentile","25th_percentile","75th_percentile","95th_percentile"
"1","Aaronsohnia factorovskyi",20.2336751055544,0.604344561000529,19.8854604009955,20.1924006998559,20.3682788485539,20.442193903653
"2","Abies alba",7.57941099680299,1.69894938940023,5.02929510947819,6.74011501215623,8.42686732514977,10.0654475161518
"3","Abies concolor",7.14297065640733,1.42776484349018,5.6227439501374,6.50352068091626,7.67900172597763,8.89850771039976
"4","Abies grandis",7.9998405174801,1.04382479931354,6.72193251600223,7.41784053752201,8.54334049284133,9.54342137656337
"5","Abies nordmanniana",7.71988015355843,1.49467169809277,5.78853047160036,7.18314494066902,8.16532537710586,9.78296987025135
"6","Abies pinsapo",12.8217293854464,1.74372666929496,11.7953803977274,12.3647962123631,13.3359201279992,13.7048417333353
"7","Abies procera",7.52652735021458,0.854733241777324,6.43126232363043,7.15846695562558,7.93257860431745,8.55249678556144
"8","Abietinella abietina",3.98446069031767,3.58468532638251,-1.9034459887875,1.73176975880376,6.40393844523642,8.80033038657684
"9","Abietinella abietina var. hystricosa",9.35148656533448,0.406529214848604,9.08077767351128,9.2696610619366,9.46486295701526,9.5732830187791
"10","Abutilon theophrasti",9.10118245128773,2.88757077440413,5.80598222482928,7.32085725339684,10.2592265015243,13.9783860519973
"11","Acacia dealbata",14.4131935813794,1.47153348932272,12.5291836780546,13.6498564254702,15.3151827489263,16.1926060129757
"12","Acacia longifolia",15.4008165691359,0.680755387237592,14.6463122512452,15.114446440827,15.7719602023083,16.0423477590042
"13","Acacia melanoxylon",14.7996860219919,1.13773636309022,13.5788950223138,14.2605793413,15.3625814606832,16.0514108598652
"14","Acacia saligna",16.7899821623824,1.52460504635473,15.098510048484,16.0737839460526,17.4700390201549,18.7055881804565
"15","Acanthus hirsutus subsp. syriacus",19.5655560145821,0.133070101757717,19.471173858131,19.4876371686322,19.6402296728771,19.6923561099946
"16","Acanthus mollis",14.1800714360371,2.80552062867462,10.0160277198807,12.8021181890798,16.0205067361509,16.866277293463
"17","Acarospora cervina",9.76708698284618,3.24113531176106,6.20873676760818,8.00659671114988,11.4726022257684,13.3312022851369
"18","Acarospora fuscata",8.2526902322293,1.51388943431278,6.05746562363443,7.40276992589058,9.38127339958933,9.84486784862399
"19","Acarospora glaucocarpa",5.81035833174712,3.18953009414303,1.39488945505405,4.26091306520313,7.74933030514893,9.17804725293391
"20","Acarospora impressula",8.46382541975989,1.0474968344644,7.25080953338666,7.94906597045116,9.06081326537553,9.49565526101796
"21","Acarospora sinopica",5.2519174679696,2.97648544379788,0.829116223098796,4.18941911523275,6.99130178730076,7.93626057674577
"22","Acaulon muticum",8.89591078250234,1.80476571801624,6.8566025125131,8.12667355452632,9.60760734853864,10.8031968948988
"23","Acer campestre",9.10525352403946,1.44115612794177,7.20079508738263,8.05063099417652,10.0273786405577,11.1413091912444
"24","Acer granatense",14.0551638353408,0.682940977943974,13.4556513753662,13.7671187207805,14.3787003953612,14.67053682319
"25","Acer monspessulanum",12.132033322129,2.23675976990537,9.27141929357549,10.6474950594827,13.5565529715703,15.3569386052014
"26","Acer negundo",9.62265309729224,2.39303694116159,6.27701444732273,8.26937813741753,10.7482997733949,13.5688312860989
"27","Acer opalus",10.3167042607997,2.02907050262005,8.19098490466144,9.26386714776642,11.2880102948138,12.5814106813753
"28","Acer palmatum",9.52638682443758,1.7681682503441,8.15498125561313,8.64610897399717,10.2101104772348,11.3265637900877
"29","Acer platanoides",7.56453651610857,2.08425117517054,3.87689653667863,6.32110348305431,9.04688120475882,10.4553568641069
"30","Acer pseudoplatanus",8.29013608006473,1.84209933498235,5.10151028433972,7.39931222168392,9.4844664269974,10.7019772553193
"31","Acer saccharinum",8.96825258819753,1.19416668028873,7.56626430562393,8.41847882716243,9.48244484605764,10.4240216339627
"32","Acer tataricum",7.8195428547207,2.31157475687404,5.51963743831158,6.71062872859936,8.80759366493182,10.3457286910671
"33","Acer tataricum subsp. ginnala",6.93522041015466,1.32050184105788,5.47745071675359,6.37126310529633,7.52312563370163,8.43824149869454
"34","Achillea ageratum",14.4738694818646,1.79025593472325,12.2279030597693,13.5391913008604,15.5812389423595,16.2853425371044
"35","Achillea atrata",4.23469217236057,0.855999653419664,3.72829367095815,3.959991981617,4.43714796477139,4.82609389207897
"36","Achillea collina",8.76549713370475,1.65307014396856,7.21775660628966,8.20594369312012,9.4209351523759,10.1777398437626
"37","Achillea filipendulina",8.88088704864789,2.12563312422004,6.83507075128025,7.81715870423609,9.76345909354901,11.3508330512469
"38","Achillea millefolium",6.49996453833805,3.38851798989715,-0.0898835015059679,4.49403943500775,8.92717330647305,10.6647260864538
"39","Achillea ptarmica",6.64183751614979,2.83284290290966,0.896762201409795,5.28149923700841,8.54179518596594,10.3628189892113
"40","Acis autumnalis",15.9877799247352,0.931677257249611,14.8444423496109,15.5199476438517,16.5252996573887,16.9138043444718
"41","Acis valentina",16.0720678868984,0,16.0720678868984,16.0720678868984,16.0720678868984,16.0720678868984
"42","Aconitum lycoctonum",2.31972548369275,2.5750303165497,-0.681559382261133,0.465592111760895,3.55921343377144,7.26288816440119
"43","Aconitum napellus",7.10077712633864,2.19433384056918,3.28920666284441,6.07302848524337,8.49121963359686,9.735256832421
"44","Aconitum napellus subsp. lusitanicum",8.3301167183668,2.27393921054864,5.94025472550019,7.4911128098681,9.43928179313694,10.0800509714003
"45","Aconitum septentrionale",1.41448063379884,1.42794231927925,-0.172202459505924,0.480602298797456,2.31755777436913,3.23572309648397
"46","Aconitum variegatum",6.35608937097267,1.85028359384475,4.56666524952661,5.29067503477598,7.26107078799591,8.42323801203336
"47","Aconitum vulparia",6.91360045562325,2.28845498956203,4.18797351512829,5.5517792871218,8.29213170435288,9.48901974726306
"48","Aconitum x cammarum",6.09785753302396,1.71709047976017,3.13684785259977,5.60074319916511,7.1117729690249,7.69507678439973
"49","Acorus calamus",8.01685120987728,1.3034280332503,6.02201145218779,7.13749158304626,9.0038213411768,9.7648335833976
"50","Acrochaetium secundatum",6.72769554841588,1.63546593412096,5.25986267070994,6.13144745702736,7.22350157582116,8.42805969956535
"51","Acrocladium trifarium",1.4806441074936,2.38540851856934,-1.14412252736705,-0.16473741895012,2.75993295876996,5.06573151822029
"52","Acrocordia cavata",6.04530730060543,1.36914549298067,4.53622791916319,5.4361894151549,6.61126140727184,7.59787686062376
"53","Acrocordia conoidea",9.00707709753217,1.06948987158872,7.74297598406584,8.47306463734342,9.47238022803836,10.1287055500346
"54","Acrocordia gemmata",7.26618935498439,1.84714832739123,4.77243374225921,6.30668029310275,8.25756552848536,9.76064402129743
"55","Acrocordia salweyi",9.18146805025506,0.881840686733557,7.85248213848617,8.84194383178005,9.686781291817,9.90497877872866
"56","Acrosiphonia arcta",7.03432018333456,2.44136492860004,3.22976818315618,6.27369439118413,8.49281645658966,9.30951764165311
"57","Acrosorium ciliolatum",9.36717872125345,1.49413777653211,7.91186082922373,8.51947439610528,9.84237585333129,11.43204694494
"58","Acrospermum compressum",7.86365721788977,1.57186234455077,5.61179979884601,7.26202164568808,8.83229092627862,9.3716388489712
"59","Actaea rubra",0.222103832892635,1.18475506764336,-0.492108189670236,-0.236225268875293,0.378343119064148,1.43706568382717
"60","Actaea spicata",4.93767299698538,2.58319232507473,0.504270903568334,3.06287325462564,6.76386192454167,8.48034923000808
"61","Actinastrum hantzschii",8.92972723968836,0.34698760691541,8.64164879484235,8.87244383697257,9.0479992807584,9.1091526553483
"62","Acutodesmus acuminatus",9.0906700682134,0.918806187461153,8.4733465315169,8.88401662972075,9.28374098299087,9.68489163391783
"63","Acutodesmus obliquus",8.82337567985959,0.693795382099311,8.22390415267837,8.76808498355986,9.06839960268019,9.16606435426508
"64","Adelanthus decipiens",8.74555747400162,0.580348044303152,8.34512620057874,8.52248454255964,8.89781108525702,9.27224263233408
