locid,species,decimallatitude,decimallongitude
3600,Lichenoconium xanthoriae,55.963397,10.046297
4634,Xanthoria parietina,56.1217,13.8303
4763,Xanthoria parietina,58.9592,16.2243
4764,Xanthoria polycarpa,55.6465,13.2707
4936,Xanthoria polycarpa,56.1217,13.8303
5130,Xanthoria candelaria,55.6465,13.2707
5299,Xanthoria parietina,58.9888,16.1283
5491,Xanthoria parietina,59.249,16.0712
6234,Xanthoria parietina,59.2465,16.0777
7251,Xanthoria parietina,59.2488,16.0838
8164,Xanthoria parietina,59.2809,15.9311
8198,Xanthoria parietina,59.2822,15.9337
8294,Xanthoria parietina,59.2794,15.9444
8321,Xanthoria parietina,59.2782,15.939
8335,Xanthoria parietina,59.2804,15.9439
8431,Xanthoria polycarpa,59.2782,15.939
8505,Xanthoria parietina,59.2631,15.9798
8602,Xanthoria parietina,59.2857,15.9387
8659,Xanthoria parietina,59.2897,15.9222
8745,Xanthoria parietina,59.2689,15.9766
8952,Xanthoria parietina,59.2748,15.946
9040,Xanthoria parietina,59.82,16.3515
9122,Xanthoria parietina,59.2724,15.9772
9300,Xanthoria parietina,59.2719,15.947
9604,Xanthoria parietina,59.2777,15.959
9623,Xanthoria parietina,59.2802,15.9597
9864,Xanthoria parietina,59.0111,15.9052
9881,Xanthoria parietina,59.2699,16.0201
9904,Xanthoria parietina,59.2712,16.0293
9980,Xanthoria parietina,59.2692,16.0245
10322,Xanthoria parietina,59.2805,16.0102
10771,Xanthoria sorediata,66.782,20.129
10805,Xanthoria parietina,59.2514,16.0936
10902,Xanthoria parietina,59.2542,16.0909
10952,Xanthoria parietina,59.2572,16.0886
11133,Xanthoria parietina,59.265,16.0445
11194,Xanthoria parietina,59.2699,15.9909
11419,Xanthoria parietina,59.2638,15.982
11834,Xanthoria parietina,59.2568,16.0625
11858,Xanthoria parietina,59.2571,16.0581
11966,Xanthoria parietina,59.2528,16.0902
12313,Xanthoria parietina,59.2664,16.1485
12444,Xanthoria parietina,59.2542,16.0709
12511,Xanthoria polycarpa,59.3647,18.2294
12595,Xanthoria parietina,59.2687,16.1525
12669,Xanthoria parietina,59.2567,16.0832
12726,Xanthoria parietina,59.2552,16.0823
12926,Xanthoria aureola,57.6751,16.7468
12973,Xanthoria parietina,59.2637,16.156
13045,Xanthoria parietina,59.268,16.1478
13224,Xanthoria parietina,59.2658,16.1509
13286,Xanthoria parietina,59.267,16.1544
13371,Xanthoria parietina,59.2627,16.1547
13398,Xanthoria parietina,57.701,16.6674
13440,Xanthoria parietina,59.265,16.16
13527,Xanthoria parietina,59.2686,16.1769
13543,Xanthoria parietina,59.2667,16.2092
13653,Xanthoria parietina,59.2725,16.1805
13799,Xanthoria parietina,59.3063,15.7407
14018,Xanthoria parietina,59.1623,15.9656
14079,Xanthoria parietina,59.3499,16.4661
14107,Xanthoria parietina,59.0543,16.5543
14160,Xanthoria parietina,59.3017,15.7478
14272,Xanthoria parietina,59.2092,16.2655
15357,Xanthoria parietina,58.9347,16.3072
15477,Xanthoria polycarpa,58.932,16.3049
15488,Xanthoria parietina,58.932,16.3049
15540,Xanthoria polycarpa,58.9347,16.3072
15598,Xanthoria parietina,58.9318,16.296
15971,Xanthoria parietina,58.9253,16.4585
16348,Xanthoria parietina,58.9847,16.0916
16569,Xanthoria parietina,57.7441,16.6312
16884,Xanthoria parietina,58.9421,16.0813
16991,Xanthoria parietina,58.9885,16.0902
17446,Xanthoria parietina,58.9868,16.0953
17579,Xanthoria candelaria,55.9897,14.151
17682,Xanthoria parietina,55.7931,13.2015
17737,Xanthoria candelaria,55.7931,13.2015
17747,Xanthoria parietina,59.3445,16.4081
17769,Xanthoria candelaria,56.0204,13.5109
17793,Xanthoria parietina,55.9897,14.151
17799,Xanthoria parietina,58.942,16.0851
17850,Xanthoria parietina,59.45,16.3081
17968,Xanthoria polycarpa,55.7931,13.2015
18013,Xanthoria parietina,55.5827,13.833
18018,Xanthoria parietina,56.1419,13.3863
18043,Xanthoria candelaria,55.9996,13.2982
18054,Xanthoria polycarpa,56.1419,13.3863
18073,Xanthoria candelaria,55.5827,13.833
18104,Xanthoria parietina,59.206,16.6122
18110,Xanthoria candelaria,55.4725,13.5092
18141,Xanthoria parietina,59.0305,16.8136
18184,Xanthoria polycarpa,57.701,16.6674
18199,Xanthoria polycarpa,55.5827,13.833
18224,Xanthoria poeltii,55.5827,13.833
18241,Xanthoria polycarpa,55.4725,13.5092
18278,Xanthoria candelaria,56.1419,13.3863
18346,Xanthoria candelaria,55.7268,13.4623
18357,Xanthoria polycarpa,55.9996,13.2982
18384,Xanthoria polycarpa,56.2366,13.5217
18514,Xanthoria parietina,55.9036,13.4262
18541,Xanthoria parietina,59.0141,16.1842
18607,Xanthoria polycarpa,55.9036,13.4262
18609,Xanthoria parietina,59.0107,16.1879
18735,Xanthoria candelaria,55.9036,13.4262
18752,Xanthoria polycarpa,59.0107,16.1879
18804,Xanthoria parietina,59.0101,16.184
19368,Xanthoria polycarpa,57.7015,16.6656
19934,Xanthoria parietina,58.9809,16.1032
19953,Xanthoria parietina,59.16,15.8946
20060,Xanthoria parietina,58.9879,16.081
20253,Xanthoria parietina,58.9876,16.1384
20317,Xanthoria parietina,59.7236,16.1562
20335,Xanthoria parietina,58.9839,16.1585
20720,Xanthoria parietina,58.9506,16.2841
20815,Xanthoria parietina,58.9072,16.122
20886,Xanthoria parietina,58.9162,16.2352
21166,Xanthoria parietina,58.9337,17.5706
21336,Xanthoria parietina,59.2327,16.8089
21591,Xanthoria parietina,58.903,16.1681
21594,Xanthoria parietina,59.3593,16.4543
21595,Xanthoria parietina,58.8956,16.1254
21762,Xanthoria parietina,59.037,16.7198
21900,Xanthoria parietina,59.3129,16.6585
22011,Xanthoria parietina,58.9324,16.398
22410,Xanthoria parietina,59.3491,16.8297
23401,Xanthoria parietina,55.5703,13.9286
23418,Xanthoria candelaria,55.8742,13.8633
23594,Xanthoria parietina,55.8742,13.8633
23668,Xanthoria candelaria,55.5703,13.9286
23762,Xanthoria polycarpa,55.5703,13.9286
23796,Xanthoria parietina,59.6129,17.0826
23903,Xanthoria parietina,55.5703,13.9286
23914,Xanthoria polycarpa,55.5703,13.9286
23932,Xanthoria candelaria,55.5703,13.9286
24133,Xanthoria parietina,58.8308,16.6901
24230,Xanthoria parietina,58.836,16.6921
24244,Xanthoria parietina,58.836,16.6921
24249,Xanthoria parietina,58.832,16.6851
24265,Xanthoria parietina,58.8388,16.696
24302,Xanthoria polycarpa,58.832,16.6851
24339,Xanthoria parietina,59.0585,16.0556
24394,Xanthoria parietina,58.8308,16.6901
24629,Xanthoria parietina,59.0735,16.0766
24662,Xanthoria parietina,58.827,16.7014
24668,Xanthoria polycarpa,58.827,16.7014
24721,Xanthoria elegans,67.5221,18.4501
24944,Xanthoria candelaria,57.0314,18.3421
24984,Xanthoria parietina,58.8178,16.5916
25039,Xanthoria parietina,58.8143,16.5893
25338,Xanthoria parietina,58.8357,16.2833
25473,Xanthoria parietina,58.837,16.294
25687,Xanthoria parietina,58.8381,16.2869
25696,Xanthoria parietina,58.8142,16.5893
26250,Xanthoria parietina,59.2774,18.0949
26974,Xanthoria parietina,58.8439,16.2603
27107,Xanthoria parietina,59.3901,16.3732
27370,Xanthoria parietina,59.2035,16.6246
27949,Xanthoria parietina,59.2895,18.0959
28038,Xanthoria parietina,58.844,16.5778
28886,Xanthoria elegans,68.3561,18.7407
29215,Xanthoria sorediata,68.3561,18.7407
29742,Xanthoria parietina,59.2734,16.4633
29766,Xanthoria parietina,58.9259,16.7528
29777,Xanthoria parietina,59.0601,16.4408
30076,Xanthoria parietina,58.9352,16.7358
30660,Xanthoria polycarpa,59.1741,18.3765
30831,Xanthoria parietina,59.1741,18.3765
31170,Xanthoria parietina,59.381,16.3699
31659,Xanthoria parietina,59.0236,16.1581
31663,Xanthoria parietina,58.9391,16.5619
31781,Xanthoria parietina,59.3164,16.6862
32495,Xanthoria parietina,58.8953,16.6971
32545,Xanthoria parietina,58.9056,16.7213
33203,Xanthoria parietina,59.3122,16.6825
33208,Xanthoria parietina,58.8931,16.6027
33310,Xanthoria parietina,58.9372,16.5613
33513,Xanthoria parietina,58.9777,17.5164
33613,Xanthoria parietina,59.381,16.4003
33848,Xanthoria parietina,59.3144,16.684
34136,Xanthoria polycarpa,58.8474,16.5968
34138,Xanthoria parietina,58.8474,16.5968
34531,Xanthoria polycarpa,58.8474,16.5968
34560,Xanthoria parietina,58.8474,16.5968
34864,Xanthoria parietina,59.0329,16.1507
35732,Xanthoria parietina,59.0113,16.7027
36581,Xanthoria parietina,59.0112,16.7003
36879,Xanthoria parietina,59.0105,16.6921
37485,Xanthoria parietina,59.2908,18.0544
38269,Xanthoria parietina,58.7714,16.3771
38600,Xanthoria parietina,58.8954,16.4718
38614,Xanthoria parietina,59.0157,16.6976
39125,Xanthoria polycarpa,58.8964,16.4682
39152,Xanthoria parietina,58.8964,16.4682
39750,Xanthoria parietina,59.6077,17.0785
40061,Xanthoria parietina,59.5918,17.0752
40218,Xanthoria parietina,59.608,17.082
40655,Xanthoria parietina,59.2696,17.3626
40673,Xanthoria parietina,59.2613,17.3777
40765,Xanthoria parietina,59.2757,17.3617
41754,Xanthoria parietina,59.2656,17.3265
41994,Xanthoria parietina,58.9927,16.0567
42150,Xanthoria parietina,58.9959,16.0452
42305,Xanthoria parietina,59.2682,17.3324
42490,Xanthoria parietina,59.1597,16.4741
42542,Xanthoria parietina,59.2617,17.3435
42866,Xanthoria parietina,59.1991,16.5702
42973,Xanthoria parietina,59.1614,16.4991
