"","species","STI","SD","5th_percentile","25th_percentile","75th_percentile","95th_percentile"
"1","Lichenoconium xanthoriae",7.77577959529544,1.53866978283203,6.31666165933279,7.2679887651833,8.46664090315428,8.73984096641676
"2","Xanthoria aureola",9.17274440917332,2.08590873343198,6.32420153702525,7.93432907312899,10.2077680062685,10.658263287182
"3","Xanthoria calcicola",9.54402803003219,1.31648365335031,8.11508164958542,9.18054047752313,9.8764996138509,10.1690807574256
"4","Xanthoria candelaria",5.75855932333886,3.45937894397541,-0.491852481472598,3.41343357435963,8.3035929758236,9.73342200858732
"5","Xanthoria elegans",5.19312674659294,4.51545328215216,-1.95304268994571,1.36017752026889,8.57386444158654,11.5015133802765
"6","Xanthoria fallax",7.26484447518928,3.39508337783674,2.95225351717426,6.10228982471685,8.69228982160392,11.202933740136
"7","Xanthoria parietina",8.6261306643807,2.35753904396707,5.16189651746257,7.25264368569444,9.70667016925618,12.4100379900252
"8","Xanthoria poeltii",5.50094760053641,1.24057682554587,4.07017672918871,5.22162386282965,6.0584016159827,6.37389731922362
"9","Xanthoria polycarpa",8.02498062026642,1.86181545087796,4.89566509714505,6.86317782748515,9.48729562288631,9.94484895244858
"10","Xanthoria sorediata",1.03951630876619,3.98677831781048,-2.72874612711602,-1.16584236270608,1.95852648695316,6.12946982327614
"11","Xanthoria ucrainica",8.94666774397778,0.996840661567991,7.11931329441637,8.32838119873193,9.72222082468019,9.94370199300324
"12","Xanthoria ulophyllodes",8.27326279223361,1.47835815909894,6.54517960280736,7.62689027832385,9.13176896078342,9.95754357187193
